snr,rssi,temp,max_hop,mean_degree,min_degree,max_degree,sym,sf
-1.00952381,-53.07857143,20.38095238,3,9.095238095,2,16,0.618429793,7
-1.2878678,-67.89786467,20.38095238,3,11.2867859,2,17,0.69961887,8
-1.592857143,-78.63095238,20.38095238,3,13.28571429,2,19,0.781047072,9
-2.70952381,-86.86190476,20.38095238,3,14.38095238,2,19,0.792294253,10
-2.807142857,-93.38809524,20.38095238,3,15.47619048,4,19,0.811316032,11
-3.188095238,-86.78095238,20.38095238,2,15.98764563,7,19,0.833593969,12


