,node_id,TX_NUM,CHANNEL,GPS_UTC
0,0,1,486700,1597585358
1,0,2,487100,1597585483
2,0,3,486300,1597585602
3,0,4,486700,1597585735
4,0,5,487700,1597585858
5,0,6,486300,1597585989
6,0,7,487300,1597586126
7,0,8,487300,1597586239
8,0,9,486700,1597586361
9,0,10,487100,1597586477
10,0,11,486300,1597586582
11,0,12,486700,1597586716
12,0,13,487500,1597586835
13,0,14,487700,1597586961
14,0,15,487300,1597587073
15,0,16,487300,1597587179
16,0,17,486700,1597587314
17,0,18,487100,1597587421
18,0,19,486300,1597587546
19,0,20,486500,1597587667
20,0,21,487500,1597587781
21,0,22,486300,1597587905
22,0,23,487300,1597588022
23,0,24,487500,1597588154
24,0,25,486900,1597588282
25,0,26,486900,1597588387
26,0,27,486500,1597588522
27,0,28,486700,1597588655
28,0,29,487700,1597588757
29,1,1,486900,1597583581
30,1,2,486300,1597583684
31,1,3,486700,1597583791
32,1,4,487700,1597583917
33,1,5,487700,1597584031
34,1,6,487300,1597584167
35,1,7,487500,1597584273
36,1,8,486700,1597584403
37,1,9,486900,1597584533
38,1,10,486300,1597584655
39,1,11,486500,1597584761
40,1,12,487700,1597584870
41,1,13,486300,1597584994
42,1,14,487100,1597585112
43,1,15,487300,1597585239
44,1,16,486700,1597585339
45,1,17,487100,1597585448
46,1,18,486500,1597585566
47,1,19,486500,1597585671
48,1,20,487700,1597585787
49,1,21,487700,1597585924
50,1,22,487300,1597586064
51,1,23,487500,1597586193
52,1,24,486900,1597586317
53,1,25,486900,1597586445
54,1,26,486300,1597586576
55,1,27,486700,1597586693
56,1,28,487700,1597586808
57,1,29,486300,1597586943
58,1,30,487300,1597587066
59,2,1,486700,1597584535
60,2,2,487100,1597584643
61,2,3,486300,1597584757
62,2,4,486500,1597584891
63,2,5,487700,1597585007
64,2,6,487700,1597585136
65,2,7,487300,1597585238
66,2,8,487500,1597585371
67,2,9,486900,1597585475
68,2,10,487100,1597585602
69,2,11,486500,1597585735
70,2,12,486500,1597585841
71,2,13,487500,1597585962
72,2,14,487700,1597586079
73,2,15,487300,1597586215
74,2,16,487500,1597586320
75,2,17,486900,1597586448
76,2,18,487100,1597586560
77,2,19,486300,1597586675
78,2,20,486700,1597586815
79,2,21,487700,1597586921
80,2,22,487700,1597587059
81,2,23,487300,1597587161
82,2,24,487300,1597587278
83,2,25,486700,1597587379
84,2,26,486900,1597587485
85,2,27,486500,1597587603
86,2,28,486700,1597587741
87,2,29,487500,1597587879
88,3,1,486300,1597584841
89,3,2,487300,1597584946
90,3,3,487300,1597585085
91,3,4,486900,1597585219
92,3,5,487100,1597585334
93,3,6,486500,1597585454
94,3,7,486500,1597585582
95,3,8,487700,1597585713
96,3,9,486300,1597585816
97,3,10,487300,1597585946
98,3,11,487300,1597586046
99,3,12,486900,1597586166
100,3,13,487100,1597586268
101,3,14,486500,1597586378
102,3,15,486700,1597586514
103,3,16,487700,1597586652
104,3,17,487700,1597586758
105,3,18,487300,1597586889
106,3,19,487500,1597587012
107,3,20,486700,1597587143
108,3,21,486900,1597587249
109,3,22,486500,1597587360
110,3,23,486700,1597587470
111,3,24,487500,1597587577
112,3,25,486300,1597587678
113,3,26,487300,1597587789
114,3,27,487300,1597587895
115,3,28,486900,1597588009
116,3,29,487100,1597588118
117,3,30,486300,1597588236
118,4,1,486300,1597584331
119,4,2,487300,1597584443
120,4,3,487300,1597584567
121,4,4,486700,1597584670
122,4,5,487100,1597584798
123,4,6,486300,1597584932
124,4,7,486700,1597585049
125,4,8,487500,1597585179
126,4,9,487700,1597585298
127,4,10,487300,1597585424
128,4,11,487500,1597585530
129,4,12,486700,1597585650
130,4,13,487100,1597585758
131,4,14,486300,1597585882
132,4,15,486500,1597586010
133,4,16,487700,1597586130
134,4,17,487700,1597586265
135,4,18,487300,1597586366
136,4,19,487300,1597586500
137,4,20,486700,1597586602
138,4,21,487100,1597586716
139,4,22,486500,1597586852
140,4,23,486500,1597586982
141,4,24,487700,1597587095
142,4,25,486300,1597587215
143,4,26,487100,1597587331
144,4,27,487500,1597587447
145,4,28,486700,1597587561
146,4,29,486900,1597587695
147,5,1,487300,1597584204
148,5,2,487300,1597584313
149,5,3,486900,1597584414
150,5,4,486900,1597584544
151,5,5,486500,1597584673
152,5,6,486500,1597584803
153,5,7,487700,1597584924
154,5,8,486300,1597585050
155,5,9,487100,1597585159
156,5,10,487500,1597585286
157,5,11,486900,1597585408
158,5,12,487100,1597585540
159,5,13,486300,1597585670
160,5,14,486500,1597585784
161,5,15,487700,1597585903
162,5,16,487700,1597586021
163,5,17,487100,1597586138
164,5,18,487500,1597586256
165,5,19,486900,1597586367
166,5,20,486900,1597586501
167,5,21,486300,1597586634
168,5,22,486700,1597586742
169,5,23,487700,1597586856
170,5,24,487700,1597586981
171,5,25,487300,1597587114
172,5,26,487300,1597587244
173,5,27,486900,1597587363
174,5,28,486900,1597587466
175,5,29,486300,1597587588
176,6,1,487300,1597584742
177,6,2,486700,1597584848
178,6,3,487100,1597584951
179,6,4,486300,1597585089
180,6,5,486700,1597585190
181,6,6,487700,1597585318
182,6,7,486300,1597585458
183,6,8,487100,1597585569
184,6,9,487500,1597585675
185,6,10,486900,1597585810
186,6,11,487100,1597585929
187,6,12,486300,1597586034
188,6,13,486700,1597586161
189,6,14,487500,1597586300
190,6,15,486300,1597586437
191,6,16,487100,1597586574
192,6,17,487500,1597586695
