,node_id,TX_NUM,CHANNEL,GPS_UTC
438,14,47,487500,1597519588
439,14,48,487700,1597519693
440,14,49,487100,1597519832
441,14,50,487500,1597519972
442,14,51,486700,1597520108
443,14,52,486900,1597520235
444,14,53,486500,1597520340
445,14,54,486500,1597520440
446,14,55,487700,1597520562
447,14,56,486300,1597520688
448,14,57,487300,1597520817
449,14,58,487300,1597520930
450,14,59,486700,1597521064
451,14,60,487100,1597521183
452,14,61,486500,1597521305
453,14,62,486500,1597521413
454,14,63,487700,1597521526
455,15,33,486900,1597518001
456,15,34,486900,1597518139
457,15,35,486300,1597518256
458,15,36,486700,1597518368
459,15,37,487500,1597518505
460,15,38,487700,1597518629
461,15,39,487100,1597518750
462,15,40,487300,1597518860
463,15,41,486700,1597518973
464,15,42,486900,1597519100
465,15,43,486500,1597519214
466,15,44,486700,1597519323
467,15,45,487500,1597519458
468,15,46,487700,1597519586
469,15,47,487300,1597519723
470,15,48,487500,1597519830
471,15,49,486900,1597519931
472,15,50,486900,1597520061
473,15,51,486300,1597520200
474,15,52,486700,1597520308
475,15,53,487700,1597520442
476,15,54,486300,1597520569
477,15,55,487300,1597520674
478,15,56,487300,1597520812
479,15,57,486900,1597520931
480,15,58,486900,1597521067
481,15,59,486300,1597521206
482,15,60,486700,1597521319
483,15,61,487500,1597521445
484,15,62,487700,1597521573
485,16,40,486700,1597518047
486,16,41,487500,1597518171
487,16,42,487700,1597518283
488,16,43,487300,1597518422
489,16,44,487500,1597518532
490,16,45,486700,1597518656
491,16,46,486900,1597518791
492,16,47,486500,1597518900
493,16,48,486500,1597519028
494,16,49,487700,1597519136
495,16,50,487700,1597519245
496,16,51,487100,1597519350
497,16,52,487300,1597519477
498,16,53,486700,1597519603
499,16,54,487100,1597519738
500,16,55,486300,1597519858
501,16,56,486500,1597519978
502,16,57,487500,1597520100
503,16,58,486300,1597520229
504,16,59,487300,1597520357
505,16,60,487300,1597520464
506,16,61,486700,1597520578
507,16,62,487100,1597520705
508,16,63,486500,1597520830
509,16,64,486700,1597520953
510,16,65,487500,1597521087
511,16,66,486300,1597521200
512,16,67,487300,1597521313
513,16,68,487500,1597521442
514,16,69,486700,1597521570
515,17,35,486500,1597518024
516,17,36,486500,1597518131
517,17,37,487500,1597518266
518,17,38,486300,1597518370
519,17,39,487100,1597518485
520,17,40,487300,1597518602
521,17,41,486900,1597518726
522,17,42,487100,1597518837
523,17,43,486300,1597518976
524,17,44,486700,1597519112
525,17,45,487700,1597519221
526,17,46,487700,1597519356
527,17,47,487100,1597519495
528,17,48,487300,1597519606
529,17,49,486900,1597519707
530,17,50,487100,1597519814
531,17,51,486300,1597519941
532,17,52,486700,1597520068
533,17,53,487500,1597520198
534,17,54,486300,1597520321
535,17,55,487300,1597520432
536,17,56,487500,1597520549
537,17,57,486900,1597520667
538,17,58,486900,1597520775
539,17,59,486300,1597520904
540,17,60,486700,1597521040
541,17,61,487500,1597521178
542,17,62,487700,1597521289
543,17,63,487100,1597521390
544,17,64,487500,1597521510
545,18,36,487700,1597518041
546,18,37,486300,1597518154
547,18,38,487300,1597518289
548,18,39,487500,1597518410
549,18,40,486900,1597518543
550,18,41,487100,1597518677
551,18,42,486500,1597518783
552,18,43,486700,1597518893
553,18,44,487700,1597519019
554,18,45,487700,1597519139
555,18,46,487300,1597519254
556,18,47,487300,1597519371
557,18,48,486900,1597519501
558,18,49,487100,1597519624
559,18,50,486300,1597519729
560,18,51,486500,1597519862
561,18,52,487700,1597519999
562,18,53,486300,1597520114
563,18,54,487100,1597520237
564,18,55,487500,1597520365
565,18,56,486700,1597520505
566,18,57,486900,1597520611
567,18,58,486500,1597520743
568,18,59,486700,1597520847
569,18,60,487700,1597520987
570,18,61,486300,1597521108
571,18,62,487300,1597521242
572,18,63,487500,1597521350
573,18,64,486700,1597521470
574,18,65,487100,1597521585
575,19,39,486900,1597518087
576,19,40,487100,1597518209
577,19,41,486500,1597518321
578,19,42,486500,1597518430
579,19,43,487700,1597518533
580,19,44,487700,1597518646
581,19,45,487300,1597518770
582,19,46,487500,1597518879
583,19,47,486700,1597519009
584,19,48,486900,1597519139
585,19,49,486300,1597519251
586,19,50,486700,1597519355
587,19,51,487500,1597519480
588,19,52,487700,1597519609
589,19,53,487100,1597519745
590,19,54,487300,1597519885
591,19,55,486700,1597520014
592,19,56,486900,1597520127
593,19,57,486300,1597520248
594,19,58,486700,1597520380
595,19,59,487700,1597520493
596,19,60,486300,1597520599
597,19,61,487300,1597520716
598,19,62,487500,1597520836
599,19,63,486900,1597520971
600,19,64,487100,1597521072
601,19,65,486500,1597521212
602,19,66,486700,1597521323
603,19,67,487700,1597521460
604,19,68,487700,1597521573
605,20,35,486900,1597518085
606,20,36,487100,1597518224
607,20,37,486500,1597518363
608,20,38,486500,1597518473
609,20,39,487500,1597518583
610,20,40,486300,1597518722
611,20,41,487300,1597518857
612,20,42,487300,1597518990
613,20,43,486700,1597519108
614,20,44,487100,1597519234
615,20,45,486500,1597519360
616,20,46,486500,1597519488
617,20,47,487500,1597519610
618,20,48,487700,1597519739
619,20,49,487100,1597519855
620,20,50,487300,1597519971
621,20,51,486700,1597520100
622,20,52,487100,1597520207
623,20,53,486500,1597520344
624,20,54,486500,1597520450
625,20,55,487700,1597520554
626,20,56,486300,1597520684
627,20,57,487100,1597520797
628,20,58,487500,1597520899
629,20,59,486900,1597521028
630,20,60,486900,1597521152
631,20,61,486500,1597521272
632,20,62,486700,1597521400
633,20,63,487700,1597521508
