,node_id,TX_NUM,CHANNEL,GPS_UTC
1432,13,54,486700,1597563909
1433,13,55,487500,1597564014
1434,13,56,486300,1597564150
1435,13,57,487100,1597564265
1436,13,58,487300,1597564381
1437,13,59,486900,1597564513
1438,13,60,486900,1597564628
1439,13,61,486300,1597564728
1440,13,62,486500,1597564852
1441,13,63,487700,1597564966
1442,13,64,487700,1597565089
1443,14,1,487100,1597514121
1444,14,2,487300,1597514222
1445,14,3,486900,1597514335
1446,14,4,487100,1597514449
1447,14,5,486500,1597514559
1448,14,6,486700,1597514690
1449,14,7,487700,1597514809
1450,14,8,486300,1597514925
1451,14,9,487100,1597515025
1452,14,10,487500,1597515126
1453,14,11,486900,1597515258
1454,14,12,487100,1597515398
1455,14,13,486500,1597515512
1456,14,14,486700,1597515645
1457,14,15,487700,1597515757
1458,14,16,487700,1597515893
1459,14,17,487100,1597515995
1460,14,18,487500,1597516117
1461,14,19,486700,1597516247
1462,14,20,486900,1597516349
1463,14,21,486300,1597516455
1464,14,22,486700,1597516589
1465,14,23,487500,1597516719
1466,14,24,487700,1597516832
1467,14,25,487300,1597516970
1468,14,26,487300,1597517096
1469,14,27,486700,1597517217
1470,14,28,486900,1597517333
1471,14,29,486500,1597517458
1472,14,30,486700,1597517571
1473,14,31,487700,1597517703
1474,14,32,486300,1597517819
1475,14,33,487300,1597517955
1476,14,34,487300,1597518055
1477,14,35,486900,1597518194
1478,14,36,487100,1597518309
1479,14,37,486500,1597518419
1480,14,38,486700,1597518543
1481,14,39,487500,1597518649
1482,14,40,486300,1597518765
1483,14,41,487300,1597518904
1484,14,42,487300,1597519007
1485,14,43,486900,1597519146
1486,14,44,486900,1597519257
1487,14,45,486300,1597519378
1488,14,46,486500,1597519480
1489,14,47,487500,1597519588
1490,14,48,487700,1597519693
1491,14,49,487100,1597519832
1492,14,50,487500,1597519972
1493,14,51,486700,1597520108
1494,14,52,486900,1597520235
1495,14,53,486500,1597520340
1496,14,54,486500,1597520440
1497,14,55,487700,1597520562
1498,14,56,486300,1597520688
1499,14,57,487300,1597520817
1500,14,58,487300,1597520930
1501,14,59,486700,1597521064
1502,14,60,487100,1597521183
1503,14,61,486500,1597521305
1504,14,62,486500,1597521413
1505,14,63,487700,1597521526
1506,14,64,487700,1597521658
1507,14,65,487100,1597521791
1508,14,66,487300,1597521927
1509,14,67,486700,1597522064
1510,14,68,486900,1597522171
1511,14,69,486500,1597522306
1512,14,70,486700,1597522442
1513,14,71,487500,1597522578
1514,14,72,486300,1597522709
1515,14,73,487300,1597522841
1516,14,74,487500,1597522962
1517,14,75,486900,1597523064
1518,14,76,486900,1597523192
1519,14,77,486300,1597523294
1520,14,78,486500,1597523397
1521,14,79,487500,1597523529
1522,14,80,487700,1597523652
1523,14,81,487100,1597523764
1524,14,82,487500,1597523864
1525,14,83,486900,1597523979
1526,14,84,487100,1597524082
1527,14,85,486300,1597524208
1528,14,86,486500,1597524346
1529,14,87,487500,1597524481
1530,14,88,486300,1597524583
1531,14,89,487100,1597524691
1532,14,90,487500,1597524795
1533,14,91,486700,1597524909
1534,14,92,487100,1597525025
1535,14,93,486500,1597525155
1536,14,94,486700,1597525265
1537,14,95,487700,1597525381
1538,14,96,486300,1597525489
1539,14,97,487300,1597525617
1540,14,98,487300,1597525723
1541,14,99,486700,1597525863
1542,14,100,486900,1597525970
1543,14,101,486300,1597526077
1544,14,102,486700,1597526193
1545,14,103,487700,1597526327
1546,14,104,487700,1597526431
1547,14,105,487300,1597526564
1548,14,106,487300,1597526692
1549,14,107,486700,1597526798
1550,14,108,487100,1597526929
1551,14,109,486300,1597527059
1552,14,110,486500,1597527175
1553,14,111,487700,1597527301
1554,14,112,486300,1597527432
1555,14,113,487100,1597527548
1556,14,114,487500,1597527681
1557,14,115,486900,1597527786
1558,14,116,487100,1597527923
1559,14,117,486300,1597528059
1560,14,118,486500,1597528197
1561,14,119,487700,1597528324
1562,14,120,487700,1597528462
1563,14,121,487100,1597528584
1564,14,122,487300,1597528712
1565,14,123,486700,1597528837
1566,14,124,487100,1597528954
1567,14,125,486300,1597529070
1568,14,126,486500,1597529170
1569,14,127,487500,1597529307
1570,14,128,487700,1597529432
1571,14,129,487100,1597529535
1572,14,130,487300,1597529665
1573,14,131,486900,1597529775
1574,14,132,487100,1597529877
1575,14,133,486500,1597529992
1576,14,134,486700,1597530120
1577,14,135,487700,1597530247
1578,14,136,487700,1597530374
1579,14,137,487300,1597530508
1580,14,138,487500,1597530630
1581,14,139,486900,1597530745
1582,14,140,487100,1597530862
1583,14,141,486300,1597530974
1584,14,142,486500,1597531096
1585,14,143,487500,1597531196
1586,14,144,486300,1597531301
1587,14,145,487300,1597531402
1588,14,146,487300,1597531503
1589,14,147,486900,1597531609
1590,14,148,486900,1597531743
1591,14,149,486300,1597531875
1592,14,150,486700,1597531978
1593,15,1,486700,1597514206
1594,15,2,487100,1597514319
