sf,dis,pos,size,scale,lbt,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true
7,1,4,50,20,1,2020-09-12 18:07:00,2020-09-12 18:26:00,1158,146681.80064999603, 131712.5209328028,149278.87736287748,7810.140124997888,173468.95224400892,151634.44478003372
7,1,3,50,20,1,2020-09-12 15:50:01,2020-09-12 16:12:00,1280,166402.23718196826,149656.77032983679,163442.42413096587,8646.835064049332,194943.38541497706,169701.44527298296
7,1,2,50,20,1,2020-09-12 15:04:01,2020-09-12 15:21:01,991,125085.53224091654,126487.59593069916,125978.57158196787,4884.666080633106,147738.61104690804,140667.69975186323
7,1,1,50,20,1,2020-09-12 14:04:01,2020-09-12 14:23:01,1130,154336.70839541993,129322.53754500223,145852.65691502954,7938.75462580433,177822.0879949228,146377.28674082336
7,0,4,2,20,1,2020-09-12 18:27:00,2020-09-12 18:36:00,481,58866.49302403158,62239.462119369906,59327.82388173103,3129.772472496467,70756.18813698812,63891.95253698761
7,0,3,2,20,1,2020-09-12 16:13:00,2020-09-12 16:25:00,656,82041.2646386662,72317.78532406346,80290.17259843188,5173.7438741329315,99421.57938394544,86385.81619893541
7,0,2,2,20,1,2020-09-12 15:24:01,2020-09-12 15:34:00,551,72724.17942699802,64187.02142037248,70988.14706083197,4932.093473146339,88021.60286896791,76692.80523697026
7,0,1,2,20,1,2020-09-12 14:24:01,2020-09-12 14:34:01,586,74629.43299425782,66195.49171460178,72361.55440372085,4260.915533470977,90801.77904195065,79240.60328295155
