# 19-slot 40, 20- slot 30, 21-slot 20, 22-slot 50,,,,,,,,,,,,,,,,,,,,
# 17-slot 60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 75, 20-packet 70, 21-packet 59, 22-packet 77,,,,,,,,,,,,,,,,,,,,
# 17-packet 80,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 5, 20-packet 4, 21-packet 2, 22-round 7,,,,,,,,,,,,,,,,,,,,
# 17-round 9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 63, 20-packet 57, 21-packet 49, 22-real 63,,,,,,,,,,,,,,,,,,,,
# 17-real 66,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
sf,dis,pos,size,scale,lbt,slot_number,packet,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true,cpu,lpm,tx,rx,pdr,energy,round
7,1,5,5,20,0,20,0,2020-9-28 6:11:32,2020-9-28 6:12:22,50 ,0,0,0,0,5332.786421,5384.603533,1368019,30781493,218308,17922353,0,5077.365075,1
7,1,5,5,20,0,20,49,2020-9-28 6:12:22,2020-9-28 6:16:30,243 ,0,0,0,0,30921.25328,31576.33408,9484947,152249921,20362523,110735145,814814,29816.78894,4.36
7,1,5,5,20,0,20,0,2020-9-28 6:23:32,2020-9-28 6:24:22,50 ,0,0,0,0,5335.222346,5403.477349,1362065,31029584,249483,17637706,0,5047.400248,1
7,1,5,5,20,0,20,49,2020-9-28 6:24:22,2020-9-28 6:28:29,242 ,0,0,0,0,31188.36953,31656.43821,9586932,151649908,22361850,108430667,811320,29979.26329,4.36
7,1,5,5,20,0,20,0,2020-9-28 6:59:32,2020-9-28 7:00:22,50 ,0,0,0,0,5395.375468,5426.178822,1362065,31163259,249475,17501395,0,5029.780535,1
7,1,5,5,20,0,20,49,2020-9-28 7:00:22,2020-9-28 7:04:29,242 ,0,0,0,0,30960.31955,30541.80392,9343081,153968088,16049986,113296926,886792,29169.811,4.36
7,1,5,5,20,0,20,0,2020-9-28 7:11:32,2020-9-28 7:12:31,59 ,0,0,0,0,7052.842273,7068.487491,1386083,31381609,249545,26293499,0,6641.098142,1
7,1,5,5,20,0,20,47,2020-9-28 7:12:31,2020-9-28 7:16:29,231 ,0,0,0,0,29370.06437,30935.93167,9738316,139449515,21311706,119655096,920000,29482.59935,4.55
7,1,5,5,20,0,20,0,2020-9-28 7:23:32,2020-9-28 7:24:22,50 ,0,0,0,0,5273.134575,5326.365218,1376102,31254363,280653,17381727,0,5023.014614,1
7,1,5,5,20,0,20,49,2020-9-28 7:24:22,2020-9-28 7:28:29,240 ,0,0,0,0,31368.34135,31231.98296,9701797,146609373,12209859,122114276,905660,29309.49866,4.36
