dis,pos,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj
1,1,2020-09-10 19:35:00,2020-09-10 19:59:01,1401,178417.91065759736,153255.75965576517,171709.48018066506,9895.834971752945
1,2,2020-09-10 20:31:00,2020-09-10 20:57:01,1526,183827.31734684375,166573.29203959898,184841.48345361114,11323.976789987724
1,3,2020-09-10 22:13:59,2020-09-10 22:38:59,1430,182030.44227871558,159183.20996819594,172870.3138942775,43496.22307860398
0,1,2020-09-10 20:01:00,2020-09-10 20:11:00,552,72092.28820909615,69035.4520380616,70883.67256980893,3647.180331696481
