sf,dis,pos,size,scale,lbt,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true,pdr,dc_c1,dc_c2,dc_c3,dc_c4,dc_c5,dc_c6,dc_c7,dc_c8,dc_c9,dc_c10,tx_c1,tx_c2,tx_c3,tx_c4,tx_c5,tx_c6,tx_c7,tx_c8,tx_c9,tx_c10,protocal_type
7,1,5,50,20,0,2020/9/28 4:56,2020/9/28 5:14,1353,159676.6461,157645.6359,157156.8373,6572.9062,164342.5174,162658.495,969654,11.0335,,,,,,,,,,149.283255,,,,,,,,,,1
7,1,5,50,20,0,2020/9/28 5:25,2020/9/28 5:43,1353,156785.1876,154550.022,155733.8764,5923.5483,161639.6301,159529.601,958966,12.0388,,,,,,,,,,162.884964,,,,,,,,,,1
7,1,5,50,20,1,2020/9/13 1:14,2020/9/13 1:35,1221,153856.8957,150116.1191,156435.038,6557.487231,178116.7918,169843.6,1000000,1.5645625,1.592149,1.485571,1.457742486,1.41494766,1.50955,1.407526,1.93952,1.751348,1.514521,19.10330813,19.44013929,18.13882191,17.79903575,17.27651093,18.4316055,17.18589246,23.6815392,21.38395908,18.49230141,0
7,1,5,50,20,1,2020/9/13 3:17,2020/9/13 3:38,1221,154314.7395,146792.5658,155449.6805,6644.063997,178218.1133,164995.356,1000000,1.721685,1.518525,1.396252,1.402651,1.4316519,1.50175224,1.4764315,1.5015642,1.402657,1.926511,21.02177385,18.54119025,17.04823692,17.12636871,17.4804697,18.33639485,18.02722862,18.33409888,17.12644197,23.52269931,0
7,1,5,50,20,1,2020/9/13 4:34,2020/9/13 4:55,1156,151021.5062,142834.7677,145934.6025,36033.04504,165287.6947,153200.0753,1000000,1.420752,1.385678,1.902758,1.753289,1.4285892,1.502729,1.528511,1.478127,1.502672,1.4128672,16.42389312,16.01843768,21.99588248,20.26802084,16.51449115,17.37154724,17.66958716,17.08714812,17.37088832,16.33274483,0
7,1,5,50,20,0,2020/9/28 6:11,2020/9/28 6:30,1165,149277.2367,145987.7533,147238.8725,6275.87522,152751.6743,149674.2642,1000000,15.3917501,,,,,,,,,,179.3138887,,,,,,,,,,0
7,1,5,50,20,0,2020/9/28 6:59,2020/9/28 7:18,1123,148654.2643,144674.7644,145851.6732,5965.23642,153985.6742,148216.4267,1000000,15.1742535,,,,,,,,,,170.4068668,,,,,,,,,,0
7,1,5,50,20,0,2020/9/28 7:35,2020/9/28 7:55,1174,149821.6743,145876.4265,146863.5228,6742.256423,153675.2647,149242.6784,1000000,15.2784086,,,,,,,,,,179.368517,,,,,,,,,,0
7,1,5,50,20,0,2020/9/30 7:43,2020/9/30 7:59,950,173720.8975,171642.9426,178322.5115,3276.2764,175809.6215,172759.3874,968988.8622,9.070526,,,,,,,,,,86.169997,,,,,,,,,,5
7,1,5,50,20,0,2020/9/30 8:26,2020/9/30 8:42,959,175863.2867,173872.2793,179530.2756,3479.91657,176173.6426,173865.0295,990609.3033,9.18446,,,,,,,,,,88.0789714,,,,,,,,,,5
7,1,5,50,20,0,2020/9/30 9:09,2020/9/30 9:25,957,174752.3674,172276.3872,177373.7558,2868.2972,174154.4605,173128.1896,986721.9917,9.10344827,,,,,,,,,,87.11999994,,,,,,,,,,5
7,1,5,50,20,0,2020/9/30 10:04,2020/9/30 10:20,949,172785.169,171763.7528,177803.0275,4875.2298,175164.4015,172992.1786,974074.0741,9.0801896,,,,,,,,,,86.1709993,,,,,,,,,,5
7,1,5,50,20,0,2020/9/30 10:47,2020/9/30 11:03,963,175862.4376,173902.6139,178264.558,3681.1096,174740.8244,173891.6741,956041.6667,9.14627,,,,,,,,,,88.0785801,,,,,,,,,,5
7,1,5,50,20,0,2020/9/30 11:30,2020/9/30 11:46,957,174785.2958,172986.6347,176679.6283,3797.2638,174896.8674,173496.9281,954979.2531,9.117853,,,,,,,,,,87.25785321,,,,,,,,,,5
